bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 0 1 1 1 1 0 0 1 1 0 1],101111001101,[1. 3. 3. 0. 3. 2.],0.07373761637485446,55.99999999999997,True,False
[1 1 1 0 1 1 0 0 1 1 0 1],111011001101,[3. 1. 3. 0. 3. 2.],0.07370576632659194,49.99999999999997,True,False
[1 0 1 1 0 1 0 0 0 1 1 1],101101000111,[1. 3. 2. 0. 2. 3.],0.053014192349329824,35.99999999999997,True,False
[1 0 1 1 0 0 0 0 1 1 0 1],101100001101,[1. 3. 0. 0. 3. 2.],0.041742461691020194,40.99999999999997,True,False
[1 0 1 1 1 1 0 1 1 1 0 1],101111011101,[1. 3. 3. 2. 3. 2.],0.03824888318290629,60.99999999999997,True,False
[1 1 1 0 0 0 0 0 1 1 0 1],111000001101,[3. 1. 0. 0. 3. 2.],0.03286744216401589,34.99999999999997,True,False
[1 1 1 0 1 0 0 0 0 1 1 1],111010000111,[3. 1. 1. 0. 2. 3.],0.03229125116873868,42.99999999999997,True,False
[1 0 1 1 0 0 0 1 1 1 0 1],101100011101,[1. 3. 0. 2. 3. 2.],0.026639668676681324,45.99999999999997,True,False
[1 1 1 0 1 1 0 1 1 1 0 1],111011011101,[3. 1. 3. 2. 3. 2.],0.024962887766585548,56.99999999999997,True,False
[1 0 1 1 0 1 0 1 0 1 1 1],101101010111,[1. 3. 2. 2. 2. 3.],0.024616328357083356,40.99999999999997,True,False
[1 1 1 0 1 0 0 1 0 1 1 1],111010010111,[3. 1. 1. 2. 2. 3.],0.023988821526616914,49.99999999999997,True,False
[1 1 1 0 0 1 0 0 0 1 1 1],111001000111,[3. 1. 2. 0. 2. 3.],0.021816510511900457,33.99999999999997,True,False
[0 1 0 1 1 1 1 0 1 1 0 1],010111101101,[2. 2. 3. 1. 3. 2.],0.021537641438853124,91.4,True,False
[1 1 1 0 0 0 0 0 0 1 1 1],111000000111,[3. 1. 0. 0. 2. 3.],0.021166121980838233,26.99999999999997,True,True
[0 1 0 1 0 1 1 1 0 1 1 1],010101110111,[2. 2. 2. 3. 2. 3.],0.018270684875108013,86.4,True,False
[0 1 0 1 0 0 1 0 1 1 0 1],010100101101,[2. 2. 0. 1. 3. 2.],0.017631852746495362,76.4,True,False
[0 1 0 1 1 1 1 0 0 1 1 1],010111100111,[2. 2. 3. 1. 2. 3.],0.016583270693196213,99.4,True,False
[0 1 0 1 1 1 1 1 0 1 1 1],010111110111,[2. 2. 3. 3. 2. 3.],0.015560882487399721,106.4,True,False
[1 0 1 1 0 1 1 0 0 1 1 1],101101100111,[1. 3. 2. 1. 2. 3.],0.015350983219542275,47.99999999999997,True,False
[1 1 1 0 0 0 0 1 1 1 0 1],111000011101,[3. 1. 0. 2. 3. 2.],0.015287346112472911,41.99999999999997,True,False
[1 1 1 0 0 0 0 1 0 1 1 1],111000010111,[3. 1. 0. 2. 2. 3.],0.014874014506275528,33.99999999999997,True,False
[0 1 0 1 0 1 1 0 0 1 1 1],010101100111,[2. 2. 2. 1. 2. 3.],0.014666599635878574,79.4,True,False
[0 1 0 1 1 0 1 0 0 1 1 1],010110100111,[2. 2. 1. 1. 2. 3.],0.014305766294309272,88.4,True,False
[1 0 1 1 1 1 1 0 1 1 0 1],101111101101,[1. 3. 3. 1. 3. 2.],0.014103764999710744,67.99999999999997,True,False
[1 0 1 1 1 0 0 0 1 1 0 1],101110001101,[1. 3. 1. 0. 3. 2.],0.013644864056031124,48.99999999999997,True,False
[1 0 1 1 1 0 0 0 0 1 1 1],101110000111,[1. 3. 1. 0. 2. 3.],0.01363137136503504,44.99999999999997,True,False
[1 0 1 1 0 0 1 0 1 1 0 1],101100101101,[1. 3. 0. 1. 3. 2.],0.013070746217953899,52.99999999999997,True,False
[0 1 0 1 1 0 1 1 0 1 1 1],010110110111,[2. 2. 1. 3. 2. 3.],0.012517296360818046,95.4,True,False
[0 1 0 1 0 0 1 1 0 1 1 1],010100110111,[2. 2. 0. 3. 2. 3.],0.012178719396064778,79.4,True,False
[0 1 0 1 1 1 0 0 0 1 1 1],010111000111,[2. 2. 3. 0. 2. 3.],0.011525583750908562,91.4,True,False
[1 1 1 0 1 1 0 0 0 1 1 1],111011000111,[3. 1. 3. 0. 2. 3.],0.011402561295809,53.99999999999997,True,False
[0 1 0 1 0 0 0 0 0 1 1 1],010100000111,[2. 2. 0. 0. 2. 3.],0.010987302927060865,64.39999999999999,True,False
[0 1 0 1 0 0 1 0 0 1 1 1],010100100111,[2. 2. 0. 1. 2. 3.],0.010022589790744886,72.4,True,False
[1 0 1 1 0 1 0 0 1 1 0 1],101101001101,[1. 3. 2. 0. 3. 2.],0.009937668009417156,43.99999999999997,True,False
[1 1 1 0 0 1 0 1 0 1 1 1],111001010111,[3. 1. 2. 2. 2. 3.],0.009893974048488016,40.99999999999997,True,False
[1 1 1 0 0 1 0 1 1 1 0 1],111001011101,[3. 1. 2. 2. 3. 2.],0.009401579928873709,44.99999999999997,True,False
[1 1 1 0 1 1 1 0 1 1 0 1],111011101101,[3. 1. 3. 1. 3. 2.],0.009401133904984113,65.99999999999997,True,False
[1 1 1 0 1 1 1 1 1 1 0 1],111011111101,[3. 1. 3. 3. 3. 2.],0.009150397839697342,76.99999999999997,True,False
[1 1 1 0 0 1 0 0 1 1 0 1],111001001101,[3. 1. 2. 0. 3. 2.],0.0075293528724904475,37.99999999999997,True,False
[0 1 0 1 1 0 0 0 0 1 1 1],010110000111,[2. 2. 1. 0. 2. 3.],0.0074045776004117644,80.4,True,False
[1 0 1 1 1 0 0 1 1 1 0 1],101110011101,[1. 3. 1. 2. 3. 2.],0.007308795202567329,53.99999999999997,True,False
[0 1 0 1 0 0 0 1 0 1 1 1],010100010111,[2. 2. 0. 2. 2. 3.],0.0065927706692370915,67.4,True,False
[0 1 0 1 1 1 0 1 0 1 1 1],010111010111,[2. 2. 3. 2. 2. 3.],0.0064717914654110024,94.4,True,False
[1 0 1 1 1 0 0 1 0 1 1 1],101110010111,[1. 3. 1. 2. 2. 3.],0.005849534342489421,49.99999999999997,True,False
[1 1 1 0 1 0 1 0 0 1 1 1],111010100111,[3. 1. 1. 1. 2. 3.],0.005743935128038227,58.99999999999997,True,False
[1 1 1 0 1 0 1 1 0 1 1 1],111010110111,[3. 1. 1. 3. 2. 3.],0.005561100083179239,69.99999999999997,True,False
[0 1 0 1 0 0 1 1 1 1 0 1],010100111101,[2. 2. 0. 3. 3. 2.],0.005465358048457918,83.4,True,False
[1 1 1 0 0 0 1 0 1 1 0 1],111000101101,[3. 1. 0. 1. 3. 2.],0.005111630927688453,50.99999999999997,True,False
[1 0 1 1 0 1 0 1 1 1 0 1],101101011101,[1. 3. 2. 2. 3. 2.],0.005012042337939916,48.99999999999997,True,False
[0 1 0 1 1 0 0 1 0 1 1 1],010110010111,[2. 2. 1. 2. 2. 3.],0.004934688725561321,83.4,True,False
[1 0 1 1 1 1 1 0 0 1 1 1],101111100111,[1. 3. 3. 1. 2. 3.],0.004850308546789146,67.99999999999997,True,False
[1 0 1 1 1 0 1 0 1 1 0 1],101110101101,[1. 3. 1. 1. 3. 2.],0.004688034450806898,60.99999999999997,True,False
[1 1 1 0 0 0 1 1 0 1 1 1],111000110111,[3. 1. 0. 3. 2. 3.],0.0045465256101130305,53.99999999999997,True,False
[1 0 1 1 0 1 1 1 0 1 1 1],101101110111,[1. 3. 2. 3. 2. 3.],0.004493779122294658,56.99999999999997,True,False
[0 1 0 1 0 1 0 0 0 1 1 1],010101000111,[2. 2. 2. 0. 2. 3.],0.004369501040848546,71.4,True,False
[1 1 1 0 0 0 1 1 1 1 0 1],111000111101,[3. 1. 0. 3. 3. 2.],0.004367982458471427,61.99999999999997,True,False
[0 1 0 1 0 1 0 1 0 1 1 1],010101010111,[2. 2. 2. 2. 2. 3.],0.00400956946370635,74.4,True,False
[0 1 0 1 0 1 1 0 1 1 0 1],010101101101,[2. 2. 2. 1. 3. 2.],0.0039915081875923015,79.4,True,False
[1 0 1 1 1 1 0 1 0 1 1 1],101111010111,[1. 3. 3. 2. 2. 3.],0.0038694348297124478,60.99999999999997,True,False
[1 1 1 0 1 1 0 1 0 1 1 1],111011010111,[3. 1. 3. 2. 2. 3.],0.003815755910859159,60.99999999999997,True,False
[1 1 1 0 0 0 1 0 0 1 1 1],111000100111,[3. 1. 0. 1. 2. 3.],0.00381380187051849,42.99999999999997,True,False
[0 1 0 1 1 1 0 0 1 1 0 1],010111001101,[2. 2. 3. 0. 3. 2.],0.003444496673433879,83.4,True,False
[0 1 0 1 0 0 0 1 1 1 0 1],010100011101,[2. 2. 0. 2. 3. 2.],0.0032794843533330326,71.4,True,False
[1 0 1 1 0 0 0 0 0 1 1 1],101100000111,[1. 3. 0. 0. 2. 3.],0.0031982486518012665,28.99999999999997,True,False
[0 1 0 1 1 1 0 1 1 1 0 1],010111011101,[2. 2. 3. 2. 3. 2.],0.0031654861074703173,86.4,True,False
[0 1 0 1 1 0 1 0 1 1 0 1],010110101101,[2. 2. 1. 1. 3. 2.],0.00267671472179648,84.4,True,False
[1 0 1 1 0 1 1 0 1 1 0 1],101101101101,[1. 3. 2. 1. 3. 2.],0.002668014220171872,55.99999999999997,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.0026393956686500005,40.99999999999997,True,False
[0 1 0 1 0 0 0 0 1 1 0 1],010100001101,[2. 2. 0. 0. 3. 2.],0.0025664481840316318,68.4,True,False
[1 0 1 1 1 1 1 1 0 1 1 1],101111110111,[1. 3. 3. 3. 2. 3.],0.0024079258206064014,76.99999999999997,True,False
[1 0 1 1 1 0 1 0 0 1 1 1],101110100111,[1. 3. 1. 1. 2. 3.],0.0022169551106357922,56.99999999999997,True,False
[0 1 0 1 0 1 0 0 1 1 0 1],010101001101,[2. 2. 2. 0. 3. 2.],0.0021504564410863747,71.4,True,False
[0 1 0 1 0 1 1 1 1 1 0 1],010101111101,[2. 2. 2. 3. 3. 2.],0.0020466235671264526,86.4,True,False
[0 1 0 1 0 1 0 1 1 1 0 1],010101011101,[2. 2. 2. 2. 3. 2.],0.001986109363281104,74.4,True,False
[1 0 1 1 0 0 1 1 0 1 1 1],101100110111,[1. 3. 0. 3. 2. 3.],0.0019447294576188368,49.99999999999997,True,False
[1 0 1 1 1 1 0 0 0 1 1 1],101111000111,[1. 3. 3. 0. 2. 3.],0.0018815747003591344,55.99999999999997,True,False
[1 1 1 0 0 1 1 0 0 1 1 1],111001100111,[3. 1. 2. 1. 2. 3.],0.0018802971106341056,49.99999999999997,True,False
[1 1 1 0 1 1 1 0 0 1 1 1],111011100111,[3. 1. 3. 1. 2. 3.],0.001864589145009187,69.99999999999997,True,False
[0 1 0 1 1 1 1 1 1 1 0 1],010111111101,[2. 2. 3. 3. 3. 2.],0.001845362933888331,98.4,True,False
[1 1 1 0 1 1 1 1 0 1 1 1],111011110111,[3. 1. 3. 3. 2. 3.],0.0015387124512826061,80.99999999999997,True,False
[1 0 1 1 0 0 1 1 1 1 0 1],101100111101,[1. 3. 0. 3. 3. 2.],0.0015316316798576477,61.99999999999997,True,False
[0 1 0 1 1 0 1 1 1 1 0 1],010110111101,[2. 2. 1. 3. 3. 2.],0.0011965155401589638,91.4,True,False
[1 1 1 0 0 1 1 1 0 1 1 1],111001110111,[3. 1. 2. 3. 2. 3.],0.0011585373246429124,60.99999999999997,True,False
[1 1 1 0 1 0 0 1 1 1 0 1],111010011101,[3. 1. 1. 2. 3. 2.],0.0011239388488343133,49.99999999999997,True,False
[1 0 1 1 0 0 0 1 0 1 1 1],101100010111,[1. 3. 0. 2. 2. 3.],0.001091225083984528,33.99999999999997,True,False
[1 1 1 0 0 1 1 1 1 1 0 1],111001111101,[3. 1. 2. 3. 3. 2.],0.0010067212621586144,64.99999999999997,True,False
[1 0 1 1 1 0 1 1 1 1 0 1],101110111101,[1. 3. 1. 3. 3. 2.],0.0007001428055036091,69.99999999999997,True,False
[0 1 0 1 1 0 0 1 1 1 0 1],010110011101,[2. 2. 1. 2. 3. 2.],0.0006882855568339087,79.4,True,False
[1 0 1 1 1 1 1 1 1 1 0 1],101111111101,[1. 3. 3. 3. 3. 2.],0.0005843174257931553,76.99999999999997,True,False
[1 1 1 0 0 1 1 0 1 1 0 1],111001101101,[3. 1. 2. 1. 3. 2.],0.000441165713553416,53.99999999999997,True,False
[1 1 1 0 1 0 1 0 1 1 0 1],111010101101,[3. 1. 1. 1. 3. 2.],0.00043418324219931457,58.99999999999997,True,False
[1 0 1 1 0 1 1 1 1 1 0 1],101101111101,[1. 3. 2. 3. 3. 2.],0.00035942254554515216,64.99999999999997,True,False
[1 1 1 0 1 0 0 0 1 1 0 1],111010001101,[3. 1. 1. 0. 3. 2.],0.0002670725149452153,42.99999999999997,True,False
[1 0 1 1 1 0 1 1 0 1 1 1],101110110111,[1. 3. 1. 3. 2. 3.],0.000247606522728744,65.99999999999997,True,False
[0 1 0 1 1 0 0 0 1 1 0 1],010110001101,[2. 2. 1. 0. 3. 2.],0.00015744893443174314,76.4,True,False
[1 1 1 0 1 0 1 1 1 1 0 1],111010111101,[3. 1. 1. 3. 3. 2.],7.183344313597082e-05,69.99999999999997,True,False
