bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[0 1 0 1 0 0 0 0 0 1 1 1],010100000111,[2. 2. 0. 0. 2. 3.],0.26546969331411696,64.39999999999999,True,False
[1 0 1 1 0 0 0 0 0 1 1 1],101100000111,[1. 3. 0. 0. 2. 3.],0.20662476077075995,28.99999999999997,True,False
[1 1 1 0 0 0 0 0 0 1 1 1],111000000111,[3. 1. 0. 0. 2. 3.],0.17867570218419346,26.99999999999997,True,True
[0 1 0 1 0 0 0 1 0 1 1 1],010100010111,[2. 2. 0. 2. 2. 3.],0.0461146649479733,67.4,True,False
[0 1 0 1 1 0 0 0 0 1 1 1],010110000111,[2. 2. 1. 0. 2. 3.],0.03868865729771055,80.4,True,False
[1 0 1 1 0 0 0 1 0 1 1 1],101100010111,[1. 3. 0. 2. 2. 3.],0.036505443740470246,33.99999999999997,True,False
[1 1 1 0 0 0 1 0 0 1 1 1],111000100111,[3. 1. 0. 1. 2. 3.],0.029554727142136503,42.99999999999997,True,False
[1 0 1 1 1 0 0 0 0 1 1 1],101110000111,[1. 3. 1. 0. 2. 3.],0.029235240811357702,44.99999999999997,True,False
[1 1 1 0 1 0 0 0 0 1 1 1],111010000111,[3. 1. 1. 0. 2. 3.],0.025155346984911293,42.99999999999997,True,False
[1 1 1 0 0 0 0 1 0 1 1 1],111000010111,[3. 1. 0. 2. 2. 3.],0.014961425647354101,33.99999999999997,True,False
[0 1 0 1 0 1 0 0 0 1 1 1],010101000111,[2. 2. 2. 0. 2. 3.],0.012894114555424123,71.4,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.012516142697590087,40.99999999999997,True,False
[1 0 1 1 0 1 0 0 0 1 1 1],101101000111,[1. 3. 2. 0. 2. 3.],0.009804386240475058,35.99999999999997,True,False
[0 1 0 1 0 0 0 0 1 1 0 1],010100001101,[2. 2. 0. 0. 3. 2.],0.00912921707754112,68.4,True,False
[1 1 1 0 0 1 0 0 0 1 1 1],111001000111,[3. 1. 2. 0. 2. 3.],0.007619722803862625,33.99999999999997,True,False
[1 0 1 1 0 0 0 0 1 1 0 1],101100001101,[1. 3. 0. 0. 3. 2.],0.006759047716610677,40.99999999999997,True,False
[0 1 0 1 1 0 0 1 0 1 1 1],010110010111,[2. 2. 1. 2. 2. 3.],0.00672826802175844,83.4,True,False
[1 0 1 1 1 0 0 1 0 1 1 1],101110010111,[1. 3. 1. 2. 2. 3.],0.005149613387254835,49.99999999999997,True,False
[1 1 1 0 0 0 0 0 1 1 0 1],111000001101,[3. 1. 0. 0. 3. 2.],0.0049410227755074185,34.99999999999997,True,False
[1 1 1 0 1 0 1 0 0 1 1 1],111010100111,[3. 1. 1. 1. 2. 3.],0.0041411880697643936,58.99999999999997,True,False
[1 1 1 0 0 1 0 0 1 1 0 1],111001001101,[3. 1. 2. 0. 3. 2.],0.004065590044147299,37.99999999999997,True,False
[1 0 1 1 0 1 0 0 1 1 0 1],101101001101,[1. 3. 2. 0. 3. 2.],0.0038656535750770547,43.99999999999997,True,False
[0 1 0 1 1 1 0 0 0 1 1 1],010111000111,[2. 2. 3. 0. 2. 3.],0.0031984419404185163,91.4,True,False
[0 1 0 1 0 1 0 0 1 1 0 1],010101001101,[2. 2. 2. 0. 3. 2.],0.0029815643799361896,71.4,True,False
