bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 0 1 1 0 0 1 1 0 1 1 1],101100110111,[1. 3. 0. 3. 2. 3.],0.05382675822726816,49.99999999999997,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.051958493099903365,40.99999999999997,True,False
[0 1 0 1 0 1 0 0 0 1 1 1],010101000111,[2. 2. 2. 0. 2. 3.],0.04983483252700374,71.4,True,False
[1 0 1 1 0 0 0 1 0 1 1 1],101100010111,[1. 3. 0. 2. 2. 3.],0.047119323555847505,33.99999999999997,True,False
[0 1 0 1 0 0 0 0 0 1 1 1],010100000111,[2. 2. 0. 0. 2. 3.],0.04554315838133476,64.39999999999999,True,False
[0 1 0 1 1 0 0 0 1 1 0 1],010110001101,[2. 2. 1. 0. 3. 2.],0.04174319742739702,76.4,True,False
[0 1 0 1 1 1 0 0 1 1 0 1],010111001101,[2. 2. 3. 0. 3. 2.],0.03971393750442537,83.4,True,False
[0 1 0 1 0 0 0 0 1 1 0 1],010100001101,[2. 2. 0. 0. 3. 2.],0.03709784981909526,68.4,True,False
[1 0 1 1 0 0 0 1 1 1 0 1],101100011101,[1. 3. 0. 2. 3. 2.],0.029098371626937677,45.99999999999997,True,False
[1 0 1 1 0 0 1 0 1 1 0 1],101100101101,[1. 3. 0. 1. 3. 2.],0.028397056737129476,52.99999999999997,True,False
[0 1 0 1 1 0 0 0 0 1 1 1],010110000111,[2. 2. 1. 0. 2. 3.],0.02666158794804794,80.4,True,False
[1 1 1 0 0 0 0 1 1 1 0 1],111000011101,[3. 1. 0. 2. 3. 2.],0.024600769542491338,41.99999999999997,True,False
[1 0 1 1 0 1 1 1 0 1 1 1],101101110111,[1. 3. 2. 3. 2. 3.],0.022437450856996836,56.99999999999997,True,False
[1 0 1 1 0 1 1 0 0 1 1 1],101101100111,[1. 3. 2. 1. 2. 3.],0.022324354387281538,47.99999999999997,True,False
[0 1 0 1 0 0 1 1 1 1 0 1],010100111101,[2. 2. 0. 3. 3. 2.],0.022150436040663864,83.4,True,False
[1 1 1 0 0 0 0 0 0 1 1 1],111000000111,[3. 1. 0. 0. 2. 3.],0.019735310294491805,26.99999999999997,True,True
[1 1 1 0 0 0 0 1 0 1 1 1],111000010111,[3. 1. 0. 2. 2. 3.],0.019340404767502904,33.99999999999997,True,False
[1 0 1 1 0 1 0 1 0 1 1 1],101101010111,[1. 3. 2. 2. 2. 3.],0.015342736460147725,40.99999999999997,True,False
[0 1 0 1 0 1 0 1 0 1 1 1],010101010111,[2. 2. 2. 2. 2. 3.],0.014954741818130213,74.4,True,False
[1 0 1 1 1 1 1 0 0 1 1 1],101111100111,[1. 3. 3. 1. 2. 3.],0.014951779556197106,67.99999999999997,True,False
[1 0 1 1 1 0 1 0 0 1 1 1],101110100111,[1. 3. 1. 1. 2. 3.],0.014307414932965626,56.99999999999997,True,False
[0 1 0 1 0 0 0 1 0 1 1 1],010100010111,[2. 2. 0. 2. 2. 3.],0.013474616548304471,67.4,True,False
[1 1 1 0 0 0 1 1 0 1 1 1],111000110111,[3. 1. 0. 3. 2. 3.],0.012890429469084455,53.99999999999997,True,False
[0 1 0 1 1 1 1 1 1 1 0 1],010111111101,[2. 2. 3. 3. 3. 2.],0.012507240678012886,98.4,True,False
[1 0 1 1 1 1 1 1 0 1 1 1],101111110111,[1. 3. 3. 3. 2. 3.],0.012388917521062023,76.99999999999997,True,False
[0 1 0 1 1 0 0 1 1 1 0 1],010110011101,[2. 2. 1. 2. 3. 2.],0.01208868030694845,79.4,True,False
[0 1 0 1 1 1 0 0 0 1 1 1],010111000111,[2. 2. 3. 0. 2. 3.],0.01075308671416123,91.4,True,False
[1 1 1 0 1 0 0 0 0 1 1 1],111010000111,[3. 1. 1. 0. 2. 3.],0.010176640224357433,42.99999999999997,True,False
[1 0 1 1 0 1 1 0 1 1 0 1],101101101101,[1. 3. 2. 1. 3. 2.],0.010009721231090478,55.99999999999997,True,False
